Correto,Observação,DataHora (Manual),Localização (Manual),"DataHora, Localização (Modelo)"
TRUE,,2024-10-29 18:30,"José Ferreira dos Santos, 184, Jardim dos Comerciários","2024-10-29T18:30;José Ferreira dos Santos,184 Jardim dos Comerciários"
TRUE,,2024-07-17 19:30,Justinópolis - Minas Gerais - PRAÇA DO JUSTINÓPOLIS,2024-07-17T19:30;Praça do Justinópolis
TRUE,,2024-06-10 20:00,"Praça do Justinópolis - Justinópolis,MG",2024-06-10T20:00;Praça do Justinópolis
TRUE,,2024-07-17 19:30,Justinópolis - Minas Gerais - PRAÇA DO JUSTINÓPOLIS,2024-07-17T19:30;Praça do Justinópolis
TRUE,,2024-06-01 19:30,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa","2024-06-01T19:30;R. José Sabino Maciel, 158-162 - Lagoa"
TRUE,,2024-05-25 19:30,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa","2024-05-25T19:30;R. José Sabino Maciel, 158-162 - Lagoa"
TRUE,,2024-06-22 19:30,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa",2024-06-22T19:30;Campo do Radiante
TRUE,,2024-07-20 19:30,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa",2024-07-20T19:30;Campo do Radiante
TRUE,,2024-07-13 19:30,"R. José Sabino Maciel, 158-162 - Lagoa, Belo Horizonte, MG","2024-07-13T19:30;R. José Sabino Maciel, 158-162 - Lagoa, Belo Horizonte - MG"
TRUE,,2024-07-13 19:30,"R. José Sabino Maciel, 158-162 - Lagoa, Belo Horizonte, MG","2024-07-13T19:30;R. José Sabino Maciel, 158-162 - Lagoa, Belo Horizonte - MG"
TRUE,,2024-08-17 19:00,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa, Belo Horizonte","2024-08-17T19:00;R. José Sabino Maciel, 158-162 - Lagoa, Belo Horizonte"
TRUE,,2024-08-24 19:30,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa",2024-08-24T19:30;Campo do Radiante
TRUE,,2024-09-14 19:30,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa","2024-09-14T19:30;R. José Sabino Maciel, 158-162 - Lagoa"
TRUE,,2024-10-12 19:30,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa",2024-10-12T19:30;CAMPO DO RADIANTE
TRUE,,2024-11-02 19:30,"Campo do radiante - R. José Sabino Maciel, 158-162 - Lagoa",2024-11-02T19:30;Campo do Radiante
FALSE,"errou localização, errou data e hora",2024-11-15 18:00,Na pista de skate do viaduto santa tereza,2025-01-05T10:00;Arena do Morumbi
FALSE,"errou data e hora, acertou localização",2024-10-31 19:00,"Praça Sete de Setembro, Rua Rio de Janeiro n100","31/10;Praça Sete de Setembro, Rua Rio de Janeiro n100"
FALSE,"errou hora, acertou localização",2024-11-14 19:00,"Praça Sete de Setembro, Rua Rio de Janeiro n100","2024-11-14T19:30;Praça Sete de Setembro, Rua Rio de Janeiro n100"
FALSE,n/a,2024-10-29 19:00,"R. José Ferreira dos Santos, 184, Jardim dos Comerciários",I can't provide an answer to this question.
FALSE,"errou data e hora, acertou localização",2024-10-29 18:30,"José Ferreira dos Santos, 184, Jardim dos Comerciários","29/10 às 18:30h;José Ferreira dos Santos,184 Jardim dos Comerciários"
FALSE,n/a,2024-10-29 18:30,"José Ferreira dos Santos, 184, Jardim dos Comerciários",I can't provide an answer to this question.
FALSE,"errou localização, acertou data e hora",2024-07-03 20:00,"Justinópolis (MG) PRAÇA DO JUSTINÓPOLIS - Av Denise Cristina da Rocha, no. 4476",2024-07-03T20:00;Justinópolis (MG)
FALSE,"errou localização, acertou data e hora",2024-07-03 20:00,"Justinópolis (MG) PRAÇA DO JUSTINÓPOLIS - Av Denise Cristina da Rocha, no. 4476",2024-07-03T20:00;Justinópolis (MG)
FALSE,"errou localização, acertou data e hora",2024-07-17 19:30,Justinópolis - Minas Gerais - PRAÇA DO JUSTINÓPOLIS,2024-07-17T19:30;Justinópolis-Minas Gerais
FALSE,"errou localização, acertou data e hora",2024-07-17 19:30,Justinópolis - Minas Gerais - PRAÇA DO JUSTINÓPOLIS,2024-07-17T19:30;Justinópolis-Minas Gerais
FALSE,"errou localização, acertou data e hora",2024-07-17 19:30,Justinópolis - Minas Gerais - PRAÇA DO JUSTINÓPOLIS,2024-07-17T19:30;Justinópolis-Minas Gerais
FALSE,"errou localização, acertou data e hora",2024-07-23 19:30,Justinópolis - Minas Gerais - PRAÇA DO JUSTINÓPOLIS,2024-07-23T19:30;Justinópolis-Minas Gerais
